row_id,engagement_score
89198,4.093772
89199,3.6908634
89200,2.7150898
89201,3.8906064
89202,2.3746505
89203,3.9694843
89204,3.8576956
89205,3.6846404
89206,2.6677375
89207,4.024765
89208,4.0591726
89209,3.9387386
89210,3.7219877
89211,4.2355366
89212,3.426291
89213,3.570846
89214,2.5929093
89215,4.0354657
89216,3.9007459
89217,3.1128945
89218,4.013882
89219,3.3753808
89220,2.9776006
89221,3.394995
89222,3.3109148
89223,4.0283394
89224,3.4031148
89225,3.5831852
89226,3.4518726
89227,3.0409126
89228,3.683493
89229,2.7381501
89230,3.2540104
89231,3.4277787
89232,3.6945724
89233,2.6770315
89234,3.4592214
89235,3.744432
89236,3.4529884
89237,4.1870756
89238,3.9004507
89239,3.6403449
89240,3.7027557
89241,3.5598729
89242,4.025951
89243,4.1448684
89244,4.154501
89245,3.5497918
89246,3.3720624
89247,2.213205
89248,3.8973525
89249,2.9950104
89250,4.08976
89251,3.0571716
89252,3.5338604
89253,2.9828143
89254,3.36397
89255,3.585134
89256,2.8831904
89257,3.46943
89258,3.6324308
89259,3.3309855
89260,2.612012
89261,3.139786
89262,3.8746765
89263,3.530992
89264,3.7406309
89265,2.508485
89266,3.5661736
89267,3.6465995
89268,3.6607358
89269,3.4630601
89270,3.5517874
89271,3.422418
89272,3.651399
89273,3.9387286
89274,3.218515
89275,3.062299
89276,2.636368
89277,2.774702
89278,4.0336947
89279,2.7443247
89280,3.1310303
89281,3.4214523
89282,3.370438
89283,4.0280375
89284,4.0499763
89285,2.7464013
89286,3.6475017
89287,3.3832169
89288,3.6254928
89289,3.9866931
89290,3.0657756
89291,2.962917
89292,4.041901
89293,4.092007
89294,3.5210657
89295,3.430203
89296,3.40916
89297,4.0865192
89298,3.7531273
89299,4.0379004
89300,3.873246
89301,4.200741
89302,3.3969283
89303,2.8852031
89304,4.1422553
89305,4.088593
89306,3.6139147
89307,3.5247595
89308,3.6153197
89309,3.9505563
89310,3.3902645
89311,3.5366123
89312,3.6603384
89313,3.578221
89314,3.920126
89315,3.452949
89316,2.6590335
89317,2.2957318
89318,3.1550472
89319,2.5618308
89320,3.4918427
89321,3.7035332
89322,3.376754
89323,4.195585
89324,3.4090934
89325,3.6137712
89326,4.0280375
89327,4.133184
89328,2.7793782
89329,3.635845
89330,2.9298582
89331,4.184864
89332,3.7010028
89333,3.9828947
89334,3.6783555
89335,3.961303
89336,2.9868572
89337,3.4155478
89338,4.001048
89339,2.7743907
89340,3.4112778
89341,3.42475
89342,3.6821287
89343,2.6940587
89344,3.4244
89345,3.654963
89346,3.7368543
89347,3.959709
89348,2.9353411
89349,3.6543703
89350,4.120141
89351,3.2077594
89352,3.696703
89353,3.9689481
89354,2.78066
89355,3.9424622
89356,3.9792004
89357,4.058609
89358,3.1753294
89359,3.4664314
89360,3.302675
89361,4.062055
89362,4.027895
89363,3.7311249
89364,4.097161
89365,3.2470946
89366,3.5645218
89367,3.4581127
89368,4.0593634
89369,3.4110434
89370,3.6694615
89371,4.038741
89372,3.683866
89373,3.227943
89374,3.419201
89375,4.0697556
89376,4.151364
89377,4.0997024
89378,3.984183
89379,3.6945724
89380,4.0499763
89381,3.601605
89382,3.688867
89383,2.9367216
89384,3.707136
89385,4.251464
89386,3.3662603
89387,3.320204
89388,3.8751495
89389,3.7215273
89390,4.035058
89391,3.6709983
89392,3.2926905
89393,2.7253027
89394,3.418995
89395,3.2896185
89396,3.5862179
89397,3.6581566
89398,3.7170227
89399,3.2273889
89400,2.9663367
89401,3.5912695
89402,2.975092
89403,3.898661
89404,3.3018749
89405,3.4934368
89406,3.5403965
89407,4.1403117
89408,3.2488391
89409,4.0042024
89410,3.1961532
89411,3.6962426
89412,3.6722503
89413,4.169845
89414,3.7083988
89415,2.5841155
89416,3.023466
89417,3.6997976
89418,3.0744119
89419,3.9626997
89420,2.2012684
89421,3.4597921
89422,3.4062397
89423,3.3989816
89424,3.4069345
89425,3.3885686
89426,3.9384415
89427,3.0111587
89428,3.9674625
89429,3.9327586
89430,3.5654411
89431,3.3018749
89432,3.60836
89433,4.128394
89434,4.212691
89435,2.6471138
89436,2.3956249
89437,2.2012684
89438,3.315813
89439,2.7668083
89440,4.053085
89441,2.7169826
89442,3.7637508
89443,2.9396517
89444,3.4069345
89445,4.1138144
89446,3.714832
89447,2.927164
89448,3.2561758
89449,3.0603013
89450,3.0603013
89451,4.1252837
89452,3.8928797
89453,2.6289499
89454,2.787296
89455,3.6910725
89456,3.394666
89457,3.8535726
89458,4.1015925
89459,2.6680334
89460,3.3769822
89461,3.4382358
89462,3.7693543
89463,2.519573
89464,3.6914113
89465,3.2910964
89466,4.0673676
89467,3.2850947
89468,3.3437717
89469,2.4759023
89470,2.0901475
89471,3.3891757
89472,4.0534935
89473,3.1871328
89474,2.7711818
89475,3.6578062
89476,3.7418625
89477,2.963092
89478,2.5614302
89479,3.0850928
89480,3.7968311
89481,3.635957
89482,3.5927334
89483,3.5624034
89484,3.547911
89485,3.543449
89486,4.0979133
89487,3.9637003
89488,3.4093187
89489,3.8751495
89490,3.5586233
89491,3.083538
89492,3.6844525
89493,4.1042204
89494,3.8987284
89495,3.9994562
89496,2.7139227
89497,2.9488635
89498,3.4371102
89499,3.0233717
89500,3.2576652
89501,3.2039275
89502,3.0272796
89503,4.072609
89504,3.0328364
89505,3.9626997
89506,3.0269053
89507,3.8571157
89508,3.3898282
89509,3.5870638
89510,3.8662426
89511,4.0661664
89512,3.968602
89513,4.0708766
89514,3.6572833
89515,3.6676304
89516,2.6031842
89517,3.9695413
89518,3.678887
89519,3.5365229
89520,4.0320864
89521,4.084955
89522,3.1592221
89523,4.090196
89524,3.6105146
89525,3.9763
89526,4.0977435
89527,2.8885958
89528,3.7294323
89529,3.412241
89530,3.5973706
89531,3.7728927
89532,4.0946097
89533,2.7364244
89534,3.4126916
89535,3.6584492
89536,3.3909068
89537,3.6105146
89538,3.4611042
89539,2.3974793
89540,2.9362414
89541,3.3902645
89542,3.7397642
89543,3.5446858
89544,4.078159
89545,3.0261943
89546,4.0920787
89547,4.1672134
89548,3.3144772
89549,3.0671985
89550,4.09123
89551,2.9155343
89552,3.1619358
89553,3.7479084
89554,4.094183
89555,3.4207025
89556,3.0734482
89557,3.03936
89558,3.2440917
89559,3.3802452
89560,3.2051303
89561,4.155713
89562,3.8730764
89563,3.8381674
89564,3.501911
89565,3.7669048
89566,3.2488837
89567,3.2957318
89568,1.9735315
89569,3.8071938
89570,3.287938
89571,3.898064
89572,3.308145
89573,2.8845208
89574,3.7028391
89575,2.7269812
89576,4.038741
89577,3.0281045
89578,4.0539985
89579,4.119756
89580,4.106329
89581,4.1497693
89582,3.4007046
89583,3.6385202
89584,2.2025826
89585,3.6119485
89586,3.246869
89587,3.9752557
89588,3.6155818
89589,4.0191827
89590,3.9576037
89591,2.5355918
89592,3.3884742
89593,3.46472
89594,3.410433
89595,4.213233
89596,3.695867
89597,4.0963187
89598,3.6554618
89599,2.7644446
89600,2.6987202
89601,3.9524639
89602,4.096276
89603,3.6112697
89604,3.0843387
89605,2.5685863
89606,3.380957
89607,2.6886005
89608,4.2136827
89609,3.904348
89610,2.8843784
89611,3.3902645
89612,4.0012302
89613,3.760835
89614,3.29172
89615,3.2835388
89616,3.7117226
89617,4.0613837
89618,4.0715985
89619,3.4030378
89620,2.7825668
89621,3.5909576
89622,3.2524173
89623,3.4039893
